Date,Total
2020-05-19,779980055.61
2020-05-20,842291112.32
2020-05-21,855861220.41
2020-05-22,925045927.41
2020-05-23,933173661.74
2020-05-24,956862107.54
2020-05-25,1022748549.50
2020-05-26,1003746080.21
2020-05-27,1005621446.14
2020-05-28,1014441443.06
2020-05-29,1001755500.85
2020-05-30,1031525578.56
2020-05-31,1095063145.85
2020-06-01,1110456381.71
2020-06-02,1101537640.39
2020-06-03,1135502441.89
2020-06-04,1126487239.06
2020-06-05,1139212544.84
2020-06-06,1152029922.17
2020-06-07,1157797672.36
2020-06-08,1145963654.66
2020-06-09,1163272103.47
2020-06-10,1158432715.41
2020-06-11,1116349835.97
2020-06-12,1178684430.45
2020-06-13,1157228675.16
2020-06-14,1146261299.56
2020-06-15,965706850.04
2020-06-16,1110833085.48
2020-06-17,1224636929.99
2020-06-18,1308977738.51
2020-06-19,1408291020.64
2020-06-20,1492172633.29
2020-06-21,1610465321.86
2020-06-22,1685052624.90
2020-06-23,1691612531.75
2020-06-24,1757563883.30
2020-06-25,1823719800.33
2020-06-26,1837153661.48
2020-06-27,1863915415.77
2020-06-28,1883345199.65
2020-06-29,1862791202.05
2020-06-30,1877213604.78
2020-07-01,1846705115.86
2020-07-02,1916114450.44
2020-07-03,1974579797.56
2020-07-04,2030828498.41
2020-07-05,2052562414.61
2020-07-06,2074793556.78
2020-07-07,2188763571.50
2020-07-08,2190832517.69
2020-07-09,2329255501.28
2020-07-10,2326650819.49
2020-07-11,2336253023.55
2020-07-12,2374316430.64
2020-07-13,2389948926.81
2020-07-14,2411342093.11
2020-07-15,2363443426.00
2020-07-16,2404285663.82
2020-07-17,2405339616.44
2020-07-18,2518866264.77
2020-07-19,2528667642.45
2020-07-20,2743418577.57
2020-07-21,2944164700.90
2020-07-22,3044477541.35
2020-07-23,3199896058.77
2020-07-24,3415468591.99
2020-07-25,3468586075.99
2020-07-26,3499466464.64
2020-07-27,3413387604.84
2020-07-28,3383755457.17
2020-07-29,3394380562.49
2020-07-30,3512083473.70
2020-07-31,3620563055.25
2020-08-01,3748821035.54
2020-08-02,3976785411.77
2020-08-03,3874269152.06
2020-08-04,4017253223.69
2020-08-05,4060941645.65
2020-08-06,4265431162.80
2020-08-07,4203539098.15
2020-08-08,4266907021.61
2020-08-09,4364033592.09
2020-08-10,4463147541.43
2020-08-11,4516317218.19
2020-08-12,4449352763.51
2020-08-13,4490574462.34
2020-08-14,4707449199.13
2020-08-15,5552989877.47
2020-08-16,5897437315.78
2020-08-17,5973272295.13
2020-08-18,6215981565.52
2020-08-19,6188717420.45
2020-08-20,6233700497.20
2020-08-21,6482940645.19
2020-08-22,6377089437.81
2020-08-23,6320368339.38
2020-08-24,6387060887.58
2020-08-25,6474117055.83
2020-08-26,6754977929.66
2020-08-27,6938084080.56
2020-08-28,7069593921.44
2020-08-29,7512908280.75
2020-08-30,7829083419.12
2020-08-31,8190409587.34
2020-09-01,8416897989.55
2020-09-02,9392341735.35
2020-09-03,9248771404.85
