Protocol,Category,Change 1d,Change 7d,Change 1m,Total 1d,Total 7d,Total 1m,Revenue 24h,Revenue 7d,Revenue 30d
XSwap Protocol,Dexes,,,,,,,,,
Lifinity,Dexes,-24.919713305230122,,,64427551,638311275,2508770867,,,
Planet,Dexes,-8.355555555555554,,,1031,9926,151074,,,
DAO Maker,Dexes,-50,,,1,19,118,,,
BabyDogeSwap,Dexes,28.68,150.77,90.31,110551,2027315,13072134,,,
Temple DAO,Dexes,,,,,,,,,
Gravis Finance,Dexes,-50.58,-36.09,-69.2,85,1778,9238,,,
Uniswap,Dexes,-12.539923246844104,,,1185194956,9855883440,39386452929,,,
Tetu,Yield,,,,,,,,,
LiquidSwap,Dexes,68.23,273.02,350.34,11536876,42824812,136423666,,,
AUX Exchange,Dexes,152.69,29.98,937.06,6772,27964,88329,,,
Wavelength DAO,Dexes,,,,0,,,,,
HeliSwap,Dexes,-6.17,46.28,104.3,4517,28371,124861,,,
MetaTdex,Dexes,,,,0,,,,,
OPX Finance,Derivatives,,,,0,0,0,,,
Helix.,Dexes,10.414653210847398,,,5209646,53061054,241673036,,,
Orderly Network,Dexes,,,,,,740851,,,
3xcalibur,Dexes,0,,50,3,20,117,,,
Cetus,Dexes,0.9309437627112138,,,158034447,956762844,2389212481,,,
Camelot,Dexes,-29.969310129460464,,,53983644,556977644,2528586896,,,
Step Exchange,Dexes,-57.18,22.33,-64.69,7088,117403,467978,,,
Archly Finance,Dexes,-4.395604395604396,,,87,559,3211,,,
OpenBook,Dexes,-14.47,-25.34,10.77,424803,3481172,22787030,,,
Equalizer,Dexes,-56.80435935572389,,,899157,10223378,39900750,,,
STON.fi,Dexes,-19.96,-12.53,-43.6,5089374,45047251,272212488,,,
VaporDex,Dexes,,,,,,9060,,,
10KSwap,Dexes,-38.9,-55.83,-77.96,3094,80971,471064,,,
KyotoSwap,Dexes,108.02,192.48,-29.27,389,2606,36594,,,
EDE,Derivatives,,,,,,,,,
Mummy Finance,Derivatives,-62.51,-69.87,-34.02,511861,10946472,53764403,,,
mySwap,Dexes,-29.66374233866122,,,146317,1269474,8794420,,,
Guru Network DAO,Dexes,-46.874297172417265,,,2520405,42177121,194956035,,,
AmpleSwap,Dexes,1248217.5,1979.4,-46.76,499327,1814271,8473656,,,
Level Finance,Dexes,,,,,10688,72039,,,
Solidly Labs,Dexes,-21.484641061618927,,,3532004,31775517,142313677,,,
Syrup Finance,Derivatives,,,,0,,,,,
THENA,Dexes,-51.681346169921504,,,10751374,144724659,642816153,,,
Metropolis,Dexes,,,,0,0,0,,,
Omax Swap,Dexes,,,,0,0,514,,,
ZyberSwap,Dexes,0,,,539335,3449758,11859122,,,
HiveSwap,Dexes,21.764915853287455,,,416173,2362850,8573765,,,
DPEX,Derivatives,,,,0,0,0,,,
SolidLizard,Dexes,,,,,,,,,
OnePunchSwap,Dexes,,,,0,0,0,,,
Megaton Finance,Dexes,-77.29,81.8,-85.47,789,15510,58880,,,
Clober,Dexes,-21.48223115545756,,,638501,6049606,50491954,,,
VeniceSwap,Dexes,,,,0,,,,,
Ashswap,Dexes,-46.11,-51.97,-6.58,66459,883317,5400360,,,
Subzero,Dexes,,,,,,2,,,
OraiDEX,Dexes,51.43,-52.64,-49.1,6469,79895,460741,,,
Equilibre,Dexes,416.73,723.21,485.13,2873,7199,36778,,,
Bisq,Dexes,,,,0,,,,,
Dexalot,Dexes,168.4101362507243,,,91060388,240907181,739907065,,,
AlienFi,Dexes,-58.82,-63.16,-56.25,7,129,585,,,
DeDust,Dexes,10.82,-12.41,-38.74,6352659,59177458,304026057,,,
Lighter,Dexes,,,,,,,,,
Fulcrom,Dexes,-43.83381687881177,,,100474,1295851,6518747,,,
Maverick Protocol,Dexes,30.87865998758355,,,29861936,186439105,814434918,,,
ArcherSwap,Dexes,,,,0,0,0,,,
PonytaSwap,Dexes,-28.02,-50.77,71.4,29397,344121,1828378,,,
Morphex,Dexes,-72.007024194905,,,204681,7344980,22753721,,,
Velocimeter,Dexes,-28.132241619032904,,,4652,57353,330314,,,
WEMIX.FI,Dexes,-7.160765697584898,,,639122,5919081,34962084,,,
Ramses Exchange,Dexes,-30.0561910649032,,,7048146,76657433,636605631,,,
Arbitrum Exchange,Dexes,-20.236612702366127,,,1281,14350,72211,,,
SmarDex,Dexes,-32.84,-1.92,-51.93,113690,1181612,5906480,,,
MantisSwap,Dexes,-22.53,-17.05,-78.93,1829,13998,157373,,,
SithSwap,Dexes,,,,0,,,,,
Koi Finance,Dexes,-18.98960137498092,,,244154,1826920,5452155,,,
SyncSwap,Dexes,1.21,-4.76,-19.91,511643,4964576,27991612,,,
Covo Finance,Derivatives,,,,,,,,,
Swapline,Dexes,,,,,,,,,
Persistence DEX,Dexes,-54.64,102.94,108.78,38090,310344,1382027,,,
Hadouken Finance,Dexes,-76.15159639288326,,,1957,36007,575495,,,
Sharpe AI,Yield,,,,,,,,,
Dove Swap,Dexes,,,,,,,,,
Auragi Finance,Dexes,32.35,15.38,28.57,45,274,2249,,,
Aktionariat,RWA,-100,,-100,0,400064,377188,,,
Thala,Dexes,11.118799944921927,,,14840568,99527085,402819522,,,
Native,Dexes,,,,,,8044979,,,
Forge,Dexes,,,,0,,,,,
SpaceDex,Derivatives,-100,,-100,0,466,3200,,,
SatoshiCoreSwap,Dexes,,,,0,,,,,
WAGMI,Dexes,-48.22,8.82,-51.16,386543,4304192,18977895,,,
MERLIN DEX,Dexes,,,,0,,,,,
Noah Swap,Dexes,-72.47,26.6,-82.64,3122,94876,569550,,,
Tealswap,Dexes,23.39331619537275,,,480,1668,71785,,,
Carbon Defi,Dexes,,,-100,0,,138750,,,
PheasantSwap,Dexes,,,-100,0,,148433,,,
Vertex Edge,Dexes,-64.45528535515446,,,1267859,20840026,123580772,,,
Chronos,Dexes,-10.379746835443038,,,708,8063,56092,,,
Veax,Dexes,,,,0,,,,,
Kriya,Dexes,66.79488194277067,,,6553486,28183845,74093996,,,
Turbos,Dexes,-1.02,80.87,260.78,22468363,189462480,479455073,,,
BlueMove,Dexes,9.58904109589041,,,80,485,1831,,,
CroSwap,Dexes,,,,0,,,,,
AirSwap,DEX Aggregator,-5.13,-19.09,-82.99,114347,534039,11362245,,,
